1,7,4,4,1,2,1,0,0,36,5,26,5,2,11,0,583,343,90,48,4320,11,OMITTED,3,40,0,11,0,11,0,722,308,95,83,7885,13,OMITTED,4,61,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 0,4,2300,2300,2300,8
1,6,2,5,0,1,1,0,0,37,7,25,5,2,11,0,605,342,90,49,4410,11,OMITTED,3,41,0,11,0,11,0,722,308,94,83,7802,13,OMITTED,3,63,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 25,  num destroyable blocks on selected traj : 3,4,36770,36770,39070,9
1,1,2,5,0,1,1,0,0,33,6,23,4,1,11,0,736,327,207,64,13248,22,OMITTED,1,-1,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 23,  num destroyable blocks on selected traj : 5,5,5520,5520,44590,10
1,1,1,6,0,0,1,0,0,28,7,17,4,1,11,0,583,342,90,49,4410,10,OMITTED,1,-1,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 7,  num destroyable blocks on selected traj : 0,4,-1,-1,-1,11
2,5,5,6,0,0,5,0,0,41,34,2,3,2,10,0,641,272,157,115,18055,36,OMITTED,4,32,33,0,1,11,0,683,214,58,51,2958,5,OMITTED,1,-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,196,3,1,,,,,,,,,,,,,,,,choosable targets : 34,  num destroyable blocks on selected traj : 8,4,14850,14850,14850,12
2,3,3,6,0,0,3,0,0,36,30,2,3,2,10,0,641,272,157,115,18055,31,OMITTED,2,23,29,0,1,11,0,683,215,58,50,2900,5,OMITTED,1,-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 30,  num destroyable blocks on selected traj : 7,4,11700,11700,26550,13
2,2,2,6,0,0,2,0,0,29,23,2,3,2,10,0,516,303,52,49,2548,5,OMITTED,1,-1,5,0,0,11,0,683,215,58,50,2900,5,OMITTED,1,-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 23,  num destroyable blocks on selected traj : 7,4,12390,12390,38940,14
1,7,4,4,1,2,1,0,0,37,6,26,5,2,11,0,583,343,90,48,4320,11,OMITTED,3,41,0,11,0,11,0,722,308,95,83,7885,13,OMITTED,4,61,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 0,4,2300,2300,2300,17
1,6,3,5,0,2,1,0,0,37,6,26,5,2,11,0,605,342,90,49,4410,11,OMITTED,3,41,0,11,0,11,0,722,308,94,83,7802,14,OMITTED,3,63,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,choosable targets : 26,  num destroyable blocks on selected traj : 3,4,36770,36770,39070,18
